threshold,precision,recall,f1,leads_selected_pct
0.2,0.48937908496732024,0.8532763532763533,0.6220145379023884,0.51
0.25,0.5258215962441315,0.7977207977207977,0.6338426711941143,0.44375
0.3,0.5645161290322581,0.7478632478632479,0.6433823529411765,0.3875
0.35,0.5965346534653465,0.6866096866096866,0.6384105960264901,0.33666666666666667
0.4,0.637906647807638,0.6424501424501424,0.6401703335699077,0.2945833333333333
0.45,0.6727272727272727,0.5797720797720798,0.6228003060443764,0.2520833333333333
0.5,0.7089108910891089,0.50997150997151,0.5932062966031483,0.21041666666666667
0.55,0.7407407407407407,0.45584045584045585,0.564373897707231,0.18
0.6,0.766016713091922,0.39173789173789175,0.5183788878416589,0.14958333333333335
0.65,0.7925170068027211,0.3319088319088319,0.4678714859437751,0.1225
0.7,0.8209606986899564,0.2678062678062678,0.4038668098818475,0.09541666666666666
0.75,0.8314606741573034,0.21082621082621084,0.33636363636363636,0.07416666666666667
0.8,0.8646616541353384,0.16381766381766383,0.2754491017964072,0.05541666666666667
